,pca,pca_umap,pca_tsne
AL354872.2,0.999999970366798,0.999999942077478,0.404410854876065
PTGER3,0.999999986493215,0.0090036724412399,0.0619700162305176
AL354949.1,0.999999985411679,0.141954836726155,0.166464386437997
AL583808.1,0.999999992879392,0.0695708516194826,0.002252088061565
LINC02238,0.999999974078895,0.999999979071368,0.999999963731284
AL591463.1,0.999999989451844,0.251189126461701,0.256261085422708
AC093158.1,0.999999985477864,0.09441028930491,0.279684063779472
LRRC53,0.999999989057427,0.0698074720294551,0.0873324864775729
ERICH3,0.999999991332967,0.454530313387402,0.454248124995781
ERICH3-AS1,0.999999955291261,0.309327735063243,0.270039879230296
AC135803.1,0.99999998997499,0.056272772419512,0.340607882900055
ASB17,0.999999949935855,0.406913354926808,0.238139449266544
AC092813.1,0.999999955291261,0.309327735063243,0.270039879230296
AC092813.2,0.999999955291261,0.309327735063243,0.270039879230296
AC104458.1,0.999999990372816,0.11451770000583,0.266959265440036
AL035409.1,0.999999981008149,0.0683512066941118,0.0220001845313827
AC093433.2,0.99999999062819,0.253588894988744,0.0048853714872625
AC093575.1,0.999999991098179,0.0868760402127108,0.0109468169892891
AC096531.2,0.999999953985728,0.398875180333458,0.30556115386247
PTGFR,0.999999992321587,0.610124228307772,0.617299465879913
AC099671.1,0.999999991200259,0.198748138668925,0.244381711064664
AL136234.1,0.999999956522386,0.234772754590425,0.38657204155534
AL138799.4,0.999999974932294,0.719082945469894,0.455770672937482
AC117944.1,0.999999990338079,0.131211127823055,0.0451666492021076
AC116099.1,0.999999980078972,0.329598889702345,0.239039516878926
LINC01712,0.999999991776518,0.0356680761372262,0.0695819737618027
AL035706.1,0.999999988132264,0.0622663916168016,0.816533442532591
SAMD13,0.999999993587653,0.0064619366706742,0.0009672635742372
LINC01555,0.999999979467811,0.524730001068741,0.384461517391083
MCOLN3,0.999999995307299,0.324427707377774,0.314957384792227
LINC02795,0.999999994734654,0.0294931090289193,0.0740827950876554
CLCA2,0.999999980176783,0.62252554396075,0.675168762822289
CLCA4,0.99999998550445,0.011924724156148,0.0178704669704184
LINC01140,0.999999955573453,0.302530905139844,0.263397692029258
LINC02801,0.999999966887013,0.289298077490923,0.295464237240799
LINC01364,0.999999997458721,0.0641465539402055,0.0099924613289308
GBP7,0.999999975994179,0.518037607172558,0.0530924244784454
GBP6,0.999999992683965,0.0599573314835056,0.0258780473082409
AC093423.2,0.999999979126604,0.0412574440712461,0.001196537130711
AC099568.1,0.999999986857294,0.0664751457226483,0.142943025061455
AC098656.1,0.999999977763397,0.308450706085386,0.0233543684008574
AL627316.1,0.999999955291261,0.057580022067277,0.155801580647483
BRDT,0.999999995675481,0.0288438411003201,0.0320456343900706
EPHX4,0.999999998280397,0.303569640324926,0.379656693959366
SETSIP,0.999999967234627,0.342500113527049,0.0325637683043516
C1orf146,0.999999989818166,0.0360816970142504,0.0392438882898465
AC093577.1,0.999999993780951,0.189051961246227,0.456304811867221
AL109613.1,0.999999994250452,0.0627445339165848,0.0349185093229588
ABCA4,0.999999982028461,0.269294006170488,0.376910993638135
ARHGAP29-AS1,0.999999992572994,0.0397600432499615,0.0991970250937947
AC097059.1,0.999999955291261,0.299113820057195,0.260540739847411
AC118469.2,0.999999981912919,0.0058398283796073,0.0678307751864395
F3,0.999999978460877,0.307841368099212,0.297226850617258
SLC44A3,0.999999995835835,0.0181859833929326,0.0997329238293004
AC095033.1,0.999999977974606,0.112079499227447,0.0553450090819038
TLCD4,0.99999999090713,0.106298986589726,0.0846127773710858
AC092802.2,0.999999997426302,0.0183581989327445,0.0197994234028761
LINC02607,0.999999993150388,0.0511084636943818,0.0298244942728881
LINC01787,0.999999981374357,0.372550856577551,0.457150498216353
DPYD-AS2,0.999999983101702,0.239665386900203,0.179113252044662
MIR137HG,0.999999985109993,0.217783585785634,0.0808518211647024
SNX7,0.999999994639679,0.175275952167289,0.125512189384498
PLPPR5,0.999999995271328,0.268112821106515,0.326588283310479
AL445433.2,0.999999977058245,0.510206676824407,0.142666695763245
PLPPR4,0.999999991047511,0.0122638851736863,0.0072563985818901
LINC01708,0.999999982217688,0.390063230488797,0.330181179523065
LINC01349,0.999999955291261,0.321484794572933,0.328214698008748
VCAM1,0.999999993901888,0.378377163718313,0.599737915001927
AC093157.2,0.999999980413282,0.130411661151955,0.0233024258245915
LINC01307,0.999999990042276,0.0605092509756501,0.0429177504946072
LINC01709,0.999999994336436,0.316874433323858,0.0127788651132495
OLFM3,0.99999997985743,0.138190349537883,0.149237837685905
COL11A1,0.999999994640606,0.0032989304664683,0.0522878032758379
AMY2A,0.999999981083339,0.11626794510955,0.023350271753697
AL591888.1,0.999999973864422,0.343951778154533,0.276014841413277
LINC01661,0.999999966979465,0.437564767531602,0.0210747765745152
C1orf194,0.999999989341158,0.065209591997045,0.644850650031954
CELSR2,0.999999992916209,0.0064579160100648,0.0093048132811961
PSRC1,0.999999993977088,0.0768400126428606,0.0261013858500421
MYBPHL,0.999999993228599,0.442865470615281,0.440537162988601
SYPL2,0.999999984495147,0.355278530506868,0.170091790491315
GPR61,0.999999974827978,0.237391075123744,0.219505472062468
AL355310.3,0.999999981539554,0.319787244703498,0.423585219093212
AL355310.1,0.999999955291261,0.100374920513978,0.0591035693425036
AL355310.2,0.999999980176783,0.302530905139844,0.263397692029258
AC000032.1,0.999999974079069,0.385965470946493,0.270175389665701
GSTM5,0.999999991708103,0.139460581300511,0.171224933298054
LINC01768,0.999999990147799,0.220864149468894,0.262066755276909
AL450468.2,0.999999976426278,0.352484894136441,0.409173358906852
ALX3,0.99999998995975,0.020797747236702,0.0717146213353596
LINC01397,0.999999989080273,0.360361663295457,0.413016794733592
SLC6A17,0.999999980078972,0.377710230571284,0.0524123825984022
AL360270.2,0.99999998197797,0.0185652276402234,0.0899184498676786
CHIA,0.999999978582892,0.0772412506739409,0.0465313220789342
PIFO,0.999999977080332,0.181402245562074,0.106361873131675
TMIGD3,0.99999999255522,0.12012954452164,0.0696955837287182
ADORA3,0.999999974932294,0.449273624948486,0.392183052787535
LINC01160,0.999999987068295,0.656714286059248,0.605559925660618
KCND3,0.999999996128951,0.0358640570084532,0.157442896996723
AL354760.1,0.999999971802618,0.382640132326897,0.495182203838014
PPM1J,0.999999996894093,0.0562207864640512,0.210230095269939
AL603832.2,0.999999967234627,0.251189126461701,0.256261085422708
LINC01356,0.999999989408856,0.0567755619231212,0.0848271399283634
LINC01357,0.99999998037809,0.315846710207694,0.0221681751884687
SYT6,0.999999989630013,0.13033347044889,0.125182075299369
SYCP1,0.999999981003645,0.466148505479608,0.509928015025703
NGF-AS1,0.999999977763397,0.327928116976941,0.11029210258208
NGF,0.999999956779819,0.18906813246432,0.232040431929228
CASQ2,0.99999998856648,0.496895623638565,0.49541357877046
AL365318.1,0.999999992964612,0.14984959394111,0.0797496476010065
MAB21L3,0.999999980181193,0.999999954793192,0.999999948488764
AL390066.2,0.999999985858467,0.116328016132616,0.168756125398127
IGSF3,0.999999986235963,0.164297940358791,0.0278285350210704
TRIM45,0.999999996217974,0.0266714037654064,0.0509996511783179
VTCN1,0.999999989877355,0.407176712300078,0.378385885301479
LINC01525,0.999999989273617,0.181912120196469,0.0229883932014761
AL157902.1,0.99999998522658,0.0668184433149091,0.0117798167104362
TBX15,0.999999986357871,0.0407614429641342,0.0712832035914753
WARS2-IT1,0.999999971769641,0.253942423436484,0.107359059993282
LINC00622,0.999999983715162,0.355232907005589,0.49841058984254
ZNF697,0.959266231771702,0.16678608422254,0.0863754702161687
AC244453.3,0.999999990927453,0.154254594682649,0.0757523210335127
AC244453.2,0.999999996587033,0.0490354793612382,0.0612620783487546
AC244453.1,0.999999992836485,0.0111382351101225,0.0456777725528573
FAM72B,0.999999989170464,0.0364647370244305,0.0314920306942235
AL592494.1,0.999999958232235,0.274387136478991,0.26797607658457
LINC01691,0.999999990235188,0.134684498747251,0.0868881293802007
AC246680.1,0.999999971698277,0.100374920513978,0.0591035693425036
FAM72C,0.999999993162832,0.0168038534525079,0.0545593338017073
LINC02805,0.999999993509968,0.00640003016044,0.0122746702296617
LINC01731,0.999999978677715,0.358288183585342,0.0387790993761816
NOTCH2NLB,0.999999982898406,0.057580022067277,0.155801580647483
NUDT4B,0.999999990266258,0.0680681638417777,0.120735573703018
AC239804.1,0.99999998251687,0.274387136478991,0.26797607658457
AC245297.2,0.999999993456387,0.007433906967142,0.0190656340977455
AC243772.2,0.999999989687608,0.404457501166874,0.400377650860623
HIST2H3D,0.999999995406249,0.104885687074299,0.0263661026651039
HIST2H4A,0.999999995269631,0.0267542266760417,0.117899477948122
HIST2H2AA3,0.999999989053111,0.0390038884597554,0.0270530946818124
AC242988.1,0.999999956779819,0.237391075123744,0.219505472062468
CA14,0.999999990366768,0.010353285469896,0.004045835152663
CIART,0.999999986479182,0.237770151335994,0.195101422716834
CTXND2,0.999999949935855,0.273215059480845,0.255263136011329
SEMA6C,0.999999986879444,0.0361299845880099,0.0050229201533254
TMOD4,0.999999982316471,0.178957381390697,0.154416094618757
AL391069.1,0.999999979467811,0.999999973453723,0.999999947611111
SELENBP1,0.999999971698277,0.100374920513978,0.0591035693425036
CGN,0.999999955573453,0.113390162920133,0.0691511438080892
TUFT1,0.999999991922476,0.0222601762655394,0.0259244208659287
AL589765.7,0.999999992405405,0.0662109170303091,0.0426050539349249
OAZ3,0.999999983711348,0.0559250297919377,0.0213170928902062
AL589765.4,0.999999988970032,0.0502750498877683,0.0261014062831472
AL589765.5,0.999999984729874,0.0197664423108328,0.0547447984506813
C2CD4D,0.999999983908225,0.0312921234542522,0.0533096216225594
THEM5,0.999999992692503,0.260637758644385,0.214744336710362
HRNR,0.999999956522386,0.251189126461701,0.256261085422708
FLG,0.999999984495301,0.0524114758941367,0.210684745128935
S100A5,0.999999987800839,0.0018288741450591,0.0132851445928825
S100A3,0.999999955573453,0.532830493954916,0.430350801039097
S100A2,0.999999974186685,0.212210786271406,0.155653220406469
BX470102.2,0.999999978460877,0.0910110399400926,0.058635733342737
AL513523.4,0.999999996589003,0.020379758701446,0.0272043840563687
AL513523.3,0.99999998324989,0.0524674855198726,0.0919351675768156
C1orf189,0.999999989297473,0.146442106649878,0.0535379856811071
AQP10,0.999999972287356,0.402225528963553,0.469685944065096
IL6R-AS1,0.999999990172762,0.0743343518051692,0.0054817904318721
SHE,0.999999992165918,0.0599053806720367,0.0449160505112316
AL162591.2,0.99999998945269,0.0569491168886904,0.204868505380199
TDRD10,0.999999975346728,0.246764628581162,0.146106294090883
CHRNB2,0.999999980943543,0.0728074155241312,0.178067283547354
AL592078.1,0.999999966887013,0.37752060402468,0.366228385298978
DCST1,0.999999996593247,0.106158791249956,0.0354051047748993
DCST1-AS1,0.99999998490239,0.000781645642162,0.0750106953287162
AC234582.2,0.999999979467811,0.128953848156518,0.0622663127501635
HCN3,0.999999966618549,0.0145169574490679,0.0164976701691995
ASH1L-IT1,0.999999981951278,0.251708835237209,0.119852831881772
AL162734.1,0.999999991958526,0.0138918217976873,0.0423288145047234
MEX3A,0.99999997788687,0.0778293658563162,0.163150231698596
